product_id,base_product_id,name,structure_type,radius_km,n_thresholds,max_payout,payout_level,payout_level_pct,absolute_risk,asymmetric_risk,weighted_risk,rmse_risk,relative_absolute_risk,relative_weighted_risk,correlation,trigger_rate,mean_payout,coverage_ratio,basis_risk_std,hospital_match_score
S001_R30_max_L25,S001_R30_max,"Steinmann S001 (R=30km, max)",single,30,1,50000000.0,0.25,25%,321430325.9738444,321430325.9738444,642860651.9476888,1789531141.3071823,0.2081490129885793,644208.8013590616,0.5997398879830067,0.07317073170731707,914634.1463414634,0.002837438953599409,1760427292.2368975,1.555547062049499e-09
S001_R30_max_L50,S001_R30_max,"Steinmann S001 (R=30km, max)",single,30,1,100000000.0,0.5,50%,320515691.82750297,320515691.82750297,641031383.6550059,1787452111.011436,0.2072583352103817,644208.799577706,0.5997398879830067,0.07317073170731707,1829268.2926829269,0.005674877907198818,1758480804.6866975,1.5599860224288175e-09
S001_R30_max_L75,S001_R30_max,"Steinmann S001 (R=30km, max)",single,30,1,150000000.0,0.75,75%,319601057.6811615,319601057.6811615,639202115.362323,1785377063.3857565,0.20636765743218408,644208.7977963504,0.5997398879830137,0.07317073170731707,2743902.43902439,0.008512316860798227,1756538192.6940932,1.564450389637264e-09
S001_R30_max_L100,S001_R30_max,"Steinmann S001 (R=30km, max)",single,30,1,200000000.0,1.0,100%,318686423.53482,318686423.53482,637372847.06964,1783306012.332801,0.20547697965398648,644208.7960149947,0.5997398879830067,0.07317073170731707,3658536.5853658537,0.011349755814397636,1754599469.1316023,1.5689403824286205e-09
S002_R30_max_L25,S002_R30_max,"Steinmann S002 (R=30km, max)",single,30,1,50000000.0,0.25,25%,320515691.82750297,320515691.82750297,641031383.6550059,1787452111.011436,0.2072583352103817,644208.799577706,0.5997398879830067,0.07317073170731707,1829268.2926829269,0.005674877907198818,1758480804.6866975,1.5599860224288175e-09
S002_R30_max_L50,S002_R30_max,"Steinmann S002 (R=30km, max)",single,30,1,100000000.0,0.5,50%,318686423.53482,318686423.53482,637372847.06964,1783306012.332801,0.20547697965398648,644208.7960149947,0.5997398879830067,0.07317073170731707,3658536.5853658537,0.011349755814397636,1754599469.1316023,1.5689403824286205e-09
S002_R30_max_L75,S002_R30_max,"Steinmann S002 (R=30km, max)",single,30,1,150000000.0,0.75,75%,316857155.24213713,316857155.24213713,633714310.4842743,1779175955.7446892,0.2036956240975912,644208.7924522838,0.5997398879830137,0.07317073170731707,5487804.87804878,0.017024633721596454,1750733738.9425862,1.5779981324042028e-09
S002_R30_max_L100,S002_R30_max,"Steinmann S002 (R=30km, max)",single,30,1,200000000.0,1.0,100%,315027886.9494542,315027886.9494542,630055773.8989084,1775062053.2230344,0.20191426854119593,644208.7888895726,0.5997398879830067,0.07317073170731707,7317073.1707317075,0.02269951162879527,1746883717.7203686,1.5871610734152047e-09
S003_R30_max_L25,S003_R30_max,"Steinmann S003 (R=30km, max)",single,30,1,50000000.0,0.25,25%,319601057.6811615,319601057.6811615,639202115.362323,1785377063.3857565,0.20636765743218408,644208.7977963504,0.5997398879830137,0.07317073170731707,2743902.43902439,0.008512316860798227,1756538192.6940932,1.564450389637264e-09
S003_R30_max_L50,S003_R30_max,"Steinmann S003 (R=30km, max)",single,30,1,100000000.0,0.5,50%,316857155.24213713,316857155.24213713,633714310.4842743,1779175955.7446892,0.2036956240975912,644208.7924522838,0.5997398879830137,0.07317073170731707,5487804.87804878,0.017024633721596454,1750733738.9425862,1.5779981324042028e-09
S003_R30_max_L75,S003_R30_max,"Steinmann S003 (R=30km, max)",single,30,1,150000000.0,0.75,75%,314113252.80311275,314113252.80311275,628226505.6062255,1773011194.8938832,0.20102359076299836,644208.787108217,0.5997398879830202,0.07317073170731707,8231707.317073171,0.02553695058239468,1744964630.4817996,1.5917825648620767e-09
S003_R30_max_L100,S003_R30_max,"Steinmann S003 (R=30km, max)",single,30,1,200000000.0,1.0,100%,311369350.36408836,311369350.36408836,622738700.7281767,1766883161.281744,0.1983515574284055,644208.7817641504,0.5997398879830137,0.07317073170731707,10975609.75609756,0.03404926744319291,1739231219.037542,1.6058099444034499e-09
S004_R30_max_L25,S004_R30_max,"Steinmann S004 (R=30km, max)",single,30,1,50000000.0,0.25,25%,318686423.53482,318686423.53482,637372847.06964,1783306012.332801,0.20547697965398648,644208.7960149947,0.5997398879830067,0.07317073170731707,3658536.5853658537,0.011349755814397636,1754599469.1316023,1.5689403824286205e-09
S004_R30_max_L50,S004_R30_max,"Steinmann S004 (R=30km, max)",single,30,1,100000000.0,0.5,50%,315027886.9494542,315027886.9494542,630055773.8989084,1775062053.2230344,0.20191426854119593,644208.7888895726,0.5997398879830067,0.07317073170731707,7317073.1707317075,0.02269951162879527,1746883717.7203686,1.5871610734152047e-09
S004_R30_max_L75,S004_R30_max,"Steinmann S004 (R=30km, max)",single,30,1,150000000.0,0.75,75%,311369350.36408836,311369350.36408836,622738700.7281767,1766883161.281744,0.1983515574284055,644208.7817641504,0.5997398879830137,0.07317073170731707,10975609.75609756,0.03404926744319291,1739231219.037542,1.6058099444034499e-09
S004_R30_max_L100,S004_R30_max,"Steinmann S004 (R=30km, max)",single,30,1,200000000.0,1.0,100%,307710813.77872247,307710813.77872247,615421627.5574449,1758770244.2639008,0.19478884631561497,644208.7746387282,0.5997398879830067,0.07317073170731707,14634146.341463415,0.04539902325759054,1731642811.6651938,1.6249022679687273e-09
